trip_id,start_time,end_time,headway_secs,exact_times
BEST_98095_1,07:00:00,23:35:00,1200,0
BEST_98096_1,06:10:00,22:30:00,1440,0
BEST_98097_1,06:00:00,21:30:00,1380,0
BEST_98098_1,06:44:00,20:30:00,1380,0
BEST_98099_1,07:00:00,21:35:00,1740,0
BEST_98100_1,07:40:00,21:40:00,1800,0
BEST_98101_1,06:00:00,21:47:00,540,0
BEST_98102_1,06:30:00,21:20:00,1200,0
BEST_98103_1,00:14:00,23:58:00,300,0
BEST_98104_1,06:30:00,19:55:00,420,0
BEST_98105_1,07:00:00,22:50:00,1140,0
BEST_98106_1,05:55:00,23:00:00,780,0
BEST_98108_1,06:38:00,20:30:00,300,0
BEST_98109_1,19:13:00,21:45:00,1500,0
BEST_98110_1,04:40:00,22:05:00,720,0
BEST_98111_1,06:45:00,21:25:00,1200,0
BEST_98112_1,00:10:00,23:50:00,1020,0
BEST_98113_1,07:30:00,20:45:00,1380,0
BEST_98114_1,05:50:00,22:00:00,900,0
BEST_98115_1,06:10:00,22:35:00,1320,0
BEST_98116_1,05:10:00,22:25:00,1080,0
BEST_98117_1,05:00:00,22:00:00,840,0
BEST_98118_1,05:35:00,21:00:00,1080,0
BEST_98119_1,06:00:00,23:25:00,900,0
BEST_98120_1,06:00:00,22:21:00,1320,0
BEST_98121_1,05:05:00,06:25:00,1200,0
BEST_98122_1,00:41:00,04:13:00,540,0
BEST_98124_1,00:15:00,23:50:00,600,0
BEST_98126_1,00:20:00,22:35:00,1500,0
BEST_98127_1,18:00:00,20:33:00,1500,0
BEST_98128_1,05:30:00,23:30:00,600,0
BEST_98129_1,05:30:00,23:30:00,1380,0
BEST_98130_1,10:34:00,23:40:00,960,0
BEST_98131_1,10:47:00,22:45:00,60,0
BEST_98132_1,05:10:00,22:10:00,120,0
BEST_98133_1,00:13:00,23:55:00,600,0
BEST_98134_1,00:00:00,23:35:00,660,0
BEST_98135_1,06:10:00,22:10:00,1800,0
BEST_98136_1,06:35:00,22:35:00,1140,0
BEST_98137_1,05:00:00,21:25:00,900,0
BEST_98138_1,05:00:00,22:00:00,720,0
BEST_98139_1,00:35:00,08:50:00,360,0
BEST_98140_1,07:20:00,22:40:00,780,0
BEST_98141_1,05:20:00,17:05:00,420,0
BEST_98142_1,08:17:00,22:21:00,240,0
BEST_98143_1,06:00:00,23:00:00,840,0
BEST_98149_1,02:16:00,02:17:00,60,0
BEST_98150_1,04:15:00,05:45:00,1500,0
BEST_98151_1,06:50:00,21:25:00,1140,0
BEST_98152_1,06:00:00,23:35:00,960,0
BEST_98153_1,06:20:00,23:30:00,2880,0
BEST_98154_1,06:00:00,22:40:00,420,0
BEST_98155_1,06:30:00,21:20:00,1440,0
BEST_98156_1,06:05:00,22:07:00,1140,0
BEST_98157_1,00:00:00,24:00:00,300,0
BEST_98158_1,00:00:00,23:50:00,600,0
BEST_98159_1,05:45:00,22:35:00,600,0
BEST_98160_1,06:12:00,23:35:00,300,0
BEST_98161_1,06:00:00,22:40:00,780,0
BEST_98162_1,06:50:00,22:05:00,780,0
BEST_98163_1,06:40:00,21:20:00,1440,0
BEST_98164_1,05:33:00,06:03:00,600,0
BEST_98165_1,07:10:00,20:40:00,1200,0
BEST_98166_1,05:05:00,23:30:00,1020,0
BEST_98167_1,05:05:00,23:30:00,1080,0
BEST_98168_1,11:45:00,23:40:00,720,0
BEST_98169_1,06:25:00,23:00:00,900,0
BEST_98170_1,05:55:00,20:50:00,960,0
BEST_98171_1,05:35:00,22:15:00,900,0
BEST_98172_1,04:55:00,21:50:00,1260,0
BEST_98173_1,00:00:00,24:00:00,660,0
BEST_98174_1,05:45:00,21:15:00,1260,0
BEST_98175_1,05:50:00,20:15:00,1320,0
BEST_98176_1,07:15:00,20:55:00,540,0
BEST_98177_1,04:10:00,04:40:00,1800,0
BEST_98178_1,05:10:00,22:05:00,900,0
BEST_98179_1,07:35:00,21:55:00,900,0
BEST_98180_1,07:15:00,20:15:00,960,0
BEST_98181_1,06:00:00,20:35:00,660,0
BEST_98182_1,07:25:00,22:20:00,600,0
BEST_98183_1,07:35:00,20:40:00,660,0
BEST_98184_1,06:10:00,23:05:00,780,0
BEST_98185_1,07:10:00,21:35:00,780,0
BEST_98186_1,06:00:00,21:00:00,720,0
BEST_98187_1,17:37:00,18:07:00,1800,0
BEST_98188_1,07:40:00,08:10:00,1800,0
BEST_98189_1,05:00:00,21:20:00,900,0
BEST_98190_1,20:21:00,22:45:00,300,0
BEST_98191_1,06:45:00,20:05:00,720,0
BEST_98192_1,08:24:00,15:01:00,1680,0
BEST_98193_1,10:14:00,17:01:00,1920,0
BEST_98194_1,05:30:00,20:50:00,600,0
BEST_98195_1,06:20:00,20:50:00,600,0
BEST_98196_1,05:00:00,23:10:00,900,0
BEST_98197_1,07:00:00,20:00:00,780,0
BEST_98198_1,04:55:00,20:35:00,600,0
BEST_98199_1,00:06:00,23:50:00,780,0
BEST_98200_1,00:15:00,23:30:00,600,0
BEST_98201_1,03:30:00,03:50:00,1200,0
BEST_98202_1,04:00:00,23:00:00,180,0
BEST_98203_1,05:15:00,23:00:00,420,0
BEST_98204_1,05:18:00,23:15:00,960,0
BEST_98206_1,00:00:00,23:58:00,660,0
BEST_AC_98207_1,07:25:00,21:20:00,1380,0
BEST_AC_98208_1,06:00:00,22:10:00,180,0
BEST_AC_98209_1,07:59:00,09:15:00,540,0
BEST_AC_98210_1,15:38:00,18:00:00,1800,0
BEST_AC_98211_1,08:05:00,19:38:00,780,0
BEST_AC_98212_1,07:25:00,19:45:00,600,0
BEST_AC_98213_1,07:10:00,18:09:00,1200,0
BEST_AC_98214_1,21:30:00,22:10:00,2400,0
BEST_AC_98215_1,06:00:00,20:35:00,960,0
BEST_AC_98216_1,06:05:00,22:25:00,1080,0
BEST_AC_98217_1,07:20:00,22:45:00,900,0
BEST_AC_98218_1,06:50:00,22:00:00,2400,0
BEST_AC_98219_1,21:04:00,21:20:00,960,0
BEST_AC_98220_1,07:00:00,20:30:00,600,0
BEST_AC_98221_1,05:52:00,06:53:00,540,0
BEST_AC_98222_1,06:42:00,11:43:00,1800,0
BEST_AC_98223_1,00:03:00,23:00:00,900,0
BEST_AC_98224_1,06:30:00,23:40:00,120,0
BEST_AC_98225_1,06:30:00,22:20:00,360,0
BEST_AC_98226_1,07:00:00,21:00:00,180,0
BEST_AC_98227_1,06:30:00,20:30:00,900,0
BEST_AC_98230_1,07:00:00,19:35:00,1320,0
BEST_AC_98231_1,07:20:00,19:40:00,1500,0
BEST_AC_98232_1,09:56:00,22:00:00,1620,0
BEST_AC_98233_1,08:15:00,21:00:00,900,0
BEST_AC_98234_1,08:10:00,22:10:00,240,0
BEST_AC_98235_1,06:05:00,22:15:00,300,0
BEST_AC_98236_1,05:47:00,07:09:00,420,0
BEST_AC_98237_1,06:53:00,22:23:00,600,0
BEST_AC_98238_1,06:55:00,20:10:00,240,0
BEST_AC_98239_1,09:01:00,18:46:00,420,0
BEST_AC_98240_1,07:00:00,21:20:00,1020,0
BEST_AC_98241_1,09:04:00,18:50:00,480,0
BEST_AC_98242_1,08:19:00,21:15:00,300,0
BEST_AC_98243_1,06:58:00,20:58:00,420,0
BEST_AC_98244_1,13:00:00,20:23:00,240,0
BEST_AC_98245_1,08:30:00,20:30:00,300,0
BEST_AC_98246_1,07:57:00,21:11:00,120,0
BEST_AC_98247_1,06:40:00,22:30:00,180,0
BEST_AC_98248_1,00:01:00,23:58:00,120,0
BEST_AC_98249_1,10:10:00,20:45:00,300,0
BEST_AC_98250_1,06:05:00,22:41:00,360,0
BEST_AC_98251_1,05:45:00,21:20:00,1080,0
BEST_AC_98252_1,06:35:00,22:15:00,600,0
BEST_AC_98253_1,06:25:00,21:10:00,420,0
BEST_AC_98254_1,06:30:00,22:50:00,300,0
BEST_AC_98255_1,00:00:00,23:55:00,300,0
BEST_AC_98256_1,06:30:00,21:28:00,540,0
BEST_AC_98257_1,20:11:00,22:23:00,840,0
BEST_AC_98258_1,06:42:00,21:42:00,540,0
BEST_AC_98259_1,06:00:00,23:00:00,600,0
BEST_AC_98260_1,00:10:00,23:58:00,360,0
BEST_AC_98261_1,06:30:00,22:00:00,360,0
BEST_AC_98262_1,06:08:00,23:18:00,600,0
BEST_AC_98263_1,07:14:00,21:17:00,360,0
BEST_AC_98264_1,07:05:00,22:05:00,1200,0
BEST_AC_98265_1,06:15:00,21:20:00,1560,0
BEST_AC_98266_1,07:25:00,22:00:00,480,0
BEST_AC_98267_1,06:41:00,22:30:00,1320,0
BEST_AC_98268_1,05:33:00,22:51:00,240,0
BEST_AC_98269_1,08:10:00,22:20:00,1080,0
BEST_AC_98270_1,00:05:00,21:55:00,840,0
BEST_AC_98271_1,05:45:00,20:45:00,480,0
BEST_AC_98272_1,05:45:00,22:30:00,600,0
BEST_AC_98273_1,07:05:00,23:15:00,1560,0
BEST_AC_98274_1,07:18:00,21:18:00,300,0
BEST_AC_98275_1,06:00:00,22:10:00,600,0
BEST_AC_98276_1,06:00:00,22:30:00,600,0
BEST_AC_98277_1,06:16:00,22:20:00,480,0
BEST_AC_98278_1,06:00:00,22:20:00,300,0
BEST_AC_98279_1,07:00:00,22:30:00,1800,0
BEST_AC_98280_1,06:40:00,22:30:00,300,0
BEST_AC_98281_1,07:20:00,21:20:00,780,0
BEST_AC_98282_1,06:45:00,21:35:00,300,0
BEST_AC_98283_1,06:15:00,23:06:00,360,0
BEST_AC_98284_1,00:00:00,23:55:00,300,0
BEST_AC_98285_1,07:20:00,21:55:00,300,0
BEST_AC_98286_1,06:15:00,22:15:00,300,0
BEST_AC_98287_1,06:55:00,21:40:00,300,0
BEST_AC_98288_1,06:15:00,21:52:00,420,0
BEST_AC_98289_1,08:24:00,21:23:00,240,0
BEST_AC_98290_1,05:35:00,23:00:00,360,0
BEST_AC_98291_1,05:55:00,22:10:00,480,0
BEST_AC_98292_1,05:40:00,22:33:00,480,0
BEST_AC_98293_1,06:40:00,22:25:00,420,0
BEST_AC_98294_1,07:20:00,22:00:00,600,0
BEST_AC_98295_1,05:55:00,22:15:00,600,0
BEST_AC_98296_1,00:00:00,22:20:00,240,0
BEST_AC_98297_1,07:25:00,22:40:00,420,0
BEST_AC_98298_1,05:40:00,22:20:00,300,0
